title;genre;distributor;year
The Polar Express;Adventure;Warner Bros.;2004
Where the Wild Things Are;Adventure;Warner Bros.;2009
Cloudy with a Chance of Meatballs;Adventure;Sony Pictures;2009
Arthur and the War of Two Worlds;Adventure;;2010
Le Petit Nicolas;Adventure;;2010
Iron Man;Adventure;Regal Entertainment;2008
A Town Called Panic;Adventure;Zeitgeist;2009
L'illusionniste;Adventure;Sony Pictures Classics;2010
Astro Boy;Adventure;Summit Entertainment;2009
Gedo Senki (Tales from Earthsea);Adventure;Walt Disney;2010
Terkel i knibe;Adventure;;2010
Samâ uôzu;Adventure;GKIDS;2010
Harry Potter and the Deathly Hallows: Part II;Adventure;Warner Bros.;2011
Pirates of the Caribbean: On Stranger Tides;Adventure;Walt Disney;2011
Cars 2;Adventure;Walt Disney;2011
Rise of the Planet of the Apes;Adventure;20th Century Fox;2011
Kung Fu Panda 2;Adventure;Paramount Pictures;2011
Puss in Boots;Adventure;Paramount Pictures;2011
Rio;Adventure;20th Century Fox;2011
The Smurfs;Adventure;Sony Pictures;2011
Rango;Adventure;Paramount Pictures;2011
Hop;Adventure;Universal;2011
Alvin and the Chipmunks: Chipwrecked;Adventure;20th Century Fox;2011
The Lion King;Adventure;Walt Disney;1994
The Muppets;Adventure;Walt Disney;2011
Mr. Poppers's Penguins;Adventure;20th Century Fox;2011
Happy Feet Two;Adventure;Warner Bros.;2011
I am Number Four;Adventure;Walt Disney;2011
Diary of a Wimpy Kid: Rodrick Rules;Adventure;20th Century Fox;2011
The Adventures of Tintin;Adventure;Paramount Pictures;2011
Hugo;Adventure;Paramount Pictures;2011
Arthur Christmas;Adventure;Sony Pictures;2011
Tron: Legacy;Adventure;Walt Disney;2010
Spy Kids: All the Time in the World;Adventure;Weinstein/Dimension;2011
Yogi Bear;Adventure;Warner Bros.;2010
Winnie the Pooh;Adventure;Walt Disney;2011
Mars Needs Moms;Adventure;Walt Disney;2011
The Three Musketeers;Adventure;Summit Entertainment;2011
The Chronicles of Narnia: The Voyage of the Dawn Treader;Adventure;20th Century Fox;2010
Gulliver's Travels;Adventure;20th Century Fox;2010
Judy Moody and the Not Bummer Summer;Adventure;Relativity;2011
Harry Potter and the Deathly Hallows: Part I;Adventure;Warner Bros.;2010
Hoodwinked Too: Hood vs. Evil;Adventure;Weinstein Co.;2011
Johnny English Reborn;Adventure;Universal;2011
Megamind;Adventure;Paramount Pictures;2010
The Way Back;Adventure;Newmarket Films;2011
L'illusionniste;Adventure;Sony Pictures Classics;2010
The Lord of the Rings: The Return of the King;Adventure;New Line;2003
The Lord of the Rings: The Fellowship of the Ring;Adventure;New Line;2001
The Lord of the Rings: The Two Towers;Adventure;New Line;2002
The Polar Express;Adventure;Warner Bros.;2004
